,Open,Close,High,Low,Volume
2023-10-09 14:17:04.940669,800.0,793.2215136382928,809.0178306866605,779.3315292659792,71306278
2023-10-10 14:17:04.940669,812.1918869921933,795.5310229471436,830.4175802860209,795.5310229471436,68009643
2023-10-11 14:17:04.940669,847.2845321359359,850.0142236378961,873.9306603665228,837.98321418882,95388919
2023-10-12 14:17:04.940669,838.8311364002749,838.2060930104615,874.3174100616684,835.5047310863804,41876549
2023-10-13 14:17:04.940669,788.6924925250332,786.5177621581007,796.3714475366129,781.7787087189475,102126608
2023-10-16 14:17:04.940669,825.5383992606263,829.5728478536677,836.491694669431,809.255816151,100561891
2023-10-17 14:17:04.940669,780.1870382691721,788.2617346917172,788.2617346917172,768.7820656432301,102120574
2023-10-18 14:17:04.940669,755.6069068227182,759.4887919161376,759.4887919161376,752.1011790119453,70775573
2023-10-19 14:17:04.940669,746.4341591415204,749.7211922333723,753.5123540234202,726.1978113513235,91849380
2023-10-20 14:17:04.940669,752.5770490845129,741.4639918596696,760.0337408326125,723.1941063390561,52483609
2023-10-23 14:17:04.940669,759.544429858433,762.9183593809864,768.9234788972121,743.7931152725341,93508770
2023-10-24 14:17:04.940669,785.0266116440636,787.0442577376998,790.9775362350154,772.6389170805489,95048428
2023-10-25 14:17:04.940669,818.4990474866082,826.0432811307378,826.0432811307378,814.2017869092919,56414180
2023-10-26 14:17:04.940669,812.5485369218945,798.1910246776354,829.5085876307774,798.1910246776354,86080994
2023-10-27 14:17:04.940669,837.1823079859569,838.9072417537972,843.4880946200913,818.0717988233916,54675091
2023-10-30 14:17:04.940669,828.971667478379,838.8744593466587,838.8744593466587,823.1924750163473,89632094
2023-10-31 14:17:04.940669,860.5002425019275,862.7470134250474,873.3431478715926,847.7152698193574,113972017
2023-11-01 14:17:04.940669,860.1496126736326,862.4865081777928,862.4865081777928,841.668011815546,82020996
2023-11-02 14:17:04.940669,872.2537814038136,866.1833663279468,873.2023552223745,862.5840934892476,77984377
2023-11-03 14:17:04.940669,868.6563655335275,860.5787117849402,874.8624624402171,851.0973374494922,49157228
2023-11-06 14:17:04.940669,888.2242134116135,879.2293927470485,905.0192930321227,875.2737069466414,71131444
2023-11-07 14:17:04.940669,888.4148440402323,889.0815038315602,898.9664276777925,882.8664880448882,78724556
2023-11-08 14:17:04.940669,882.9337394870388,908.429705260787,908.429705260787,870.0941629591892,79050234
2023-11-09 14:17:04.940669,894.7293426587843,894.2030544460642,908.4177789132698,867.1970055869015,91659153
2023-11-10 14:17:04.940669,865.2682686813831,858.6143203701978,873.0309592218766,855.4938296124354,66929756
2023-11-13 14:17:04.940669,897.7623341416135,890.2305416090949,897.8155910836643,885.2743001064882,80079667
